"CodeCom";"NomCom";"CodeDep";"AnneeCreationCom";"PopDGF2017";"PopDGF2018";"PopInsee2018";"DF2016";"DF2017";"DF2018";"PF4Taxes2017";"PF4Taxes2018";"RRF2018";"PartDynPop";"MtEcretement"
"35272";"SAINT-GERMAIN-DU-PINEL";"35";2014;932;945;928;85989;81629;82556;459132;472878;583562;927;0
"35273";"SAINT-GERMAIN-EN-COGLES";"35";2014;2096;2118;2086;190331;178523;180283;1211516;1162915;1227683;1760;0
"35274";"SAINT-GERMAIN-SUR-ILLE";"35";2014;917;932;920;59536;54172;54807;502622;468979;625930;1067;432
"35275";"SAINT-GILLES";"35";2014;4325;4546;4523;378242;333661;340677;3791635;3931819;3794705;19495;12479
"35276";"SAINT-GONDRAN";"35";2014;547;550;546;45607;42714;42297;299938;277803;307540;196;613
"35277";"SAINT-GONLAY";"35";2014;358;360;346;33146;30764;30893;142578;148352;238905;129;0
"35278";"SAINT-GREGOIRE";"35";2014;9685;9875;9823;393722;245518;214839;11407958;11957767;11455380;18346;49025
"35279";"SAINT-GUINOUX";"35";2014;1132;1184;1172;101762;96517;100351;483953;542767;851501;3834;0
"35280";"SAINT-HILAIRE-DES-LANDES";"35";2014;1073;1079;1055;119398;114453;114889;553119;526886;613810;436;0
"35281";"SAINT-JACQUES-DE-LA-LANDE";"35";2014;12531;12841;12759;545246;425176;418544;12631843;12889845;12815986;30809;37441
"35282";"SAINT-JEAN-SUR-COUESNON";"35";2014;1181;1194;1171;116360;110756;111716;465875;582539;733296;960;0
"35283";"SAINT-JEAN-SUR-VILAINE";"35";2014;1164;1176;1170;90391;83534;83088;718382;747041;636675;884;1330
"35284";"SAINT-JOUAN-DES-GUERETS";"35";2014;2774;2752;2682;290313;256573;247581;2267639;2399236;2927750;-1822;7170
"35285";"SAINT-JUST";"35";2014;1181;1185;1105;133908;127384;127679;498535;508682;740103;295;0
"35286";"SAINT-LEGER-DES-PRES";"35";2014;262;265;253;23565;22352;22545;119085;124058;156495;193;0
"35287";"SAINT-LUNAIRE";"35";2014;3965;3974;2367;320575;278439;269052;3378044;3493336;3645271;781;10168
"35288";"SAINT-MALO";"35";2014;55763;55548;47318;9066226;8470142;8429994;48389603;47910410;76319261;-24756;15392
